path,doc_id,category,page_count,acroform_field_count,acroform_set_count,radio_field_count,avg_chars_per_page,has_vector_drawings,error,in_qc_list,targetable_for_visual
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SD/SD.0264/SD.0264.R03.01.pdf,SD0264R0301,flattened,65,0,0,0,2758.9692307692308,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SD/SD.0264/SD.0264.R04.00.pdf,SD0264R0400,flattened,134,0,0,0,2253.1641791044776,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SD/SD.0189/SD0189R0604.pdf,SD0189R0604,flattened,252,0,0,0,2349.7896825396824,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SD/SD.0189/SD.0189.90.R2.01.pdf,,flattened,101,0,0,0,1802.7920792079208,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SD/SD.0189/SD.0189.R05.01_Email.pdf,SD0189R0501,flattened,155,0,0,0,2556.0129032258064,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SC/SC.1686/SC1686R0000.pdf,SC1686R0000,flattened,188,0,0,0,2260.691489361702,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.1666/UT1666R0000.pdf,UT1666R0000,flattened,331,0,0,0,2169.166163141994,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0439/UT.0439.R01.02.pdf,UT0439R0102,flattened,161,0,0,0,2124.577639751553,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0439/UT.0439.R01.01.pdf,UT0439R0101,flattened,161,0,0,0,2127.385093167702,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0439/UT0439R0300.pdf,UT0439R0300,flattened,226,0,0,0,2077.6769911504425,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0158/UT0158R0700.pdf,UT0158R0700,flattened,300,0,0,0,2382.6633333333334,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0331/UT.0331.R03.01.pdf,UT0331R0301,flattened,115,0,0,0,2297.573913043478,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0331/UT.0331.R03.02.pdf,UT0331R0302,flattened,120,0,0,0,2265.9416666666666,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0331/UT.0331.R03.03.pdf,UT0331R0303,flattened,125,0,0,0,2299.528,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0331/UT.0331.90.R1.01.pdf,,flattened,143,0,0,0,1878.5734265734266,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0247/UT0247R0500.pdf,UT0247R0500,flattened,145,0,0,0,2152.786206896552,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0247/UT0247R0600.pdf,UT0247R0600,flattened,196,0,0,0,2163.6428571428573,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0247/UT0247R0602.pdf,UT0247R0602,flattened,197,0,0,0,2159.6852791878173,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0247/UT.0247.R04.01.pdf,UT0247R0401,flattened,146,0,0,0,2191.917808219178,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.1029/UT1029R0100.pdf,UT1029R0100,flattened,180,0,0,0,2247.322222222222,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/MS/MS.0272/MS.0272.R03.00_Emailed.pdf,MS0272R0300,flattened,88,0,0,0,3255.5113636363635,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/MS/MS.0272/MS.0272.R04.03_Emailed.pdf,MS0272R0403,flattened,141,0,0,0,2859.624113475177,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/MS/MS.0272/MS.0272.R04.01_Emailed.pdf,MS0272R0401,flattened,129,0,0,0,2624.6201550387595,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/MS/MS.0255/MS.0255.R03.00_Emailed.pdf,MS0255R0300,flattened,74,0,0,0,3245.891891891892,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/MT/MT.0148/MT0148R0605.pdf,MT0148R0605,flattened,265,0,0,0,1981.7811320754718,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/MO/MO.0698/MO-0698-R01-00-Approval-Letter.pdf,,flattened,2,0,0,0,1006.0,True,,False,True
