path,doc_id,category,page_count,acroform_field_count,acroform_set_count,radio_field_count,avg_chars_per_page,has_vector_drawings,error,in_qc_list,targetable_for_visual
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/VA/VA.4160/VA_4160_R03_03_ Approval_ Letter.pdf,,scanned,1,0,0,0,1467.0,False,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/VA/VA.4160/VA_4160_ R03_ 04_ Approval_Letter.pdf,,scanned,1,0,0,0,1840.0,False,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/VA/VA.01/VA.01.PDF,,acroform_filled,197,1310,406,1310,2324.0710659898477,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/VA/VA.0430/VA.0430.PDF,,acroform_filled,264,1402,450,1402,2444.882575757576,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/VA/VA.0358/VA0358R0504.PDF,VA0358R0504,acroform_filled,337,1622,509,1622,2508.507418397626,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/VA/VA.0358/VA0358R0501.PDF,VA0358R0501,acroform_filled,337,1622,509,1622,2514.4569732937684,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/VA/VA.0321/VA0321R0404.pdf,VA0321R0404,acroform_filled,220,1763,595,1763,2272.6454545454544,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/VA/VA.0321/VA0321R0402.PDF,VA0321R0402,acroform_filled,239,1735,591,1735,2007.255230125523,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/VA/VA.0321/VA0321R0403.pdf,VA0321R0403,acroform_filled,220,1738,593,1738,2292.831818181818,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/VA/VA.0372/VA.0372.PDF,,acroform_filled,366,1713,576,1713,2478.841530054645,False,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/VA/VA.4149/VA4149R0302.PDF,VA4149R0302,acroform_filled,142,1049,311,1049,2239.3661971830984,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SD/SD.0264/SD0264R0600.PDF,SD0264R0600,acroform_filled,193,1306,421,1306,2326.3108808290153,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SD/SD.0264/SD.0264.R03.01.pdf,SD0264R0301,flattened,65,0,0,0,2758.9692307692308,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SD/SD.0264/SD.0264.R04.00.pdf,SD0264R0400,flattened,134,0,0,0,2253.1641791044776,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SD/SD.0044/SD0044R0900.PDF,SD0044R0900,acroform_filled,205,1309,463,1309,2453.3121951219514,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SD/SD.0044/SD0044R0901.PDF,SD0044R0901,acroform_filled,205,1319,454,1319,2450.721951219512,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SD/SD.0189/SD0189R0604.pdf,SD0189R0604,flattened,252,0,0,0,2349.7896825396824,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SD/SD.0189/SD.0189.90.R2.01.pdf,,flattened,101,0,0,0,1802.7920792079208,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SD/SD.0189/SD.0189.R05.01_Email.pdf,SD0189R0501,flattened,155,0,0,0,2556.0129032258064,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SD/SD.0338/SD.0338.PDF,,acroform_filled,203,1358,510,1358,2325.8669950738918,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SC/SC.0284/SC.0284.PDF,,acroform_filled,263,1376,473,1376,2159.638783269962,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SC/SC.0676/SC0676R0300.PDF,SC0676R0300,acroform_filled,228,1322,443,1322,2227.214912280702,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SC/SC.0676/SC0676R0302.PDF,SC0676R0302,acroform_filled,232,1329,436,1329,2244.228448275862,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SC/SC.0237/SC0237R0604.PDF,SC0237R0604,acroform_filled,258,1399,451,1399,2188.0077519379847,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SC/SC.0237/SC0237R0606.PDF,SC0237R0606,acroform_filled,265,1370,449,1370,2206.856603773585,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SC/SC.0237/SC0237R0603.PDF,SC0237R0603,acroform_filled,260,1399,453,1399,2239.1153846153848,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SC/SC.0237/SC0237R0600.PDF,SC0237R0600,acroform_filled,263,1409,479,1409,2229.1825095057034,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SC/SC.0200/SC.0200.PDF,,acroform_filled,155,1060,327,1060,2370.851612903226,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SC/SC.0405/SC0405R0400.PDF,SC0405R0400,acroform_filled,221,1395,405,1395,2263.529411764706,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SC/SC.0405/SC0405R0402.PDF,SC0405R0402,acroform_filled,219,1399,389,1399,2291.27397260274,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SC/SC.0405/SC0405R0403.PDF,SC0405R0403,acroform_filled,218,1394,386,1394,2282.266055045872,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SC/SC.0405/SC0405R0406.PDF,SC0405R0406,acroform_filled,225,1378,382,1378,2324.751111111111,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SC/SC.1686/SC1686R0000.pdf,SC1686R0000,flattened,188,0,0,0,2260.691489361702,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SC/SC.1686/SC1686R0002.PDF,SC1686R0002,acroform_filled,192,1519,432,1519,2352.921875,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SC/SC.0675/SC0675R0302.PDF,SC0675R0302,acroform_filled,135,1039,304,1039,2182.133333333333,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SC/SC.0675/SC0675R0300.PDF,SC0675R0300,acroform_filled,133,1024,306,1024,2171.8195488721803,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SC/SC.0675/SC0675R0305.PDF,SC0675R0305,acroform_filled,138,1039,311,1039,2239.644927536232,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SC/SC.0186/SC0186R0705.PDF,SC0186R0705,acroform_filled,204,1296,363,1296,2400.485294117647,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SC/SC.0186/SC0186R0702.PDF,SC0186R0702,acroform_filled,194,1298,366,1298,2374.3762886597938,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SC/SC.0186/SC0186R0700.PDF,SC0186R0700,acroform_filled,195,1291,375,1291,2362.876923076923,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SC/SC.40181/SC40181R0602.PDF,SC40181R0602,acroform_filled,212,1326,368,1326,2375.1509433962265,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/SC/SC.40181/SC40181R0600.PDF,SC40181R0600,acroform_filled,201,1298,369,1298,2331.3582089552237,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.1666/UT1666R0000.pdf,UT1666R0000,flattened,331,0,0,0,2169.166163141994,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.1666/UT1666R0003.PDF,UT1666R0003,acroform_filled,333,1571,532,1571,2237.12012012012,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.1666/UT1666R0006.PDF,UT1666R0006,acroform_filled,333,1571,534,1571,2238.228228228228,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.1666/UT1666R0007.PDF,UT1666R0007,acroform_filled,335,1571,536,1571,2238.140298507463,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0292/UT0292R0600.PDF,UT0292R0600,acroform_filled,264,1452,517,1452,2319.469696969697,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0439/UT.0439.R01.02.pdf,UT0439R0102,flattened,161,0,0,0,2124.577639751553,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0439/UT.0439.R01.01.pdf,UT0439R0101,flattened,161,0,0,0,2127.385093167702,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0439/UT0439R0300.pdf,UT0439R0300,flattened,226,0,0,0,2077.6769911504425,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0439/UT.0439.R00.00.pdf,UT0439R0000,scanned,14,0,0,0,0.0,False,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0158/UT0158R0704.PDF,UT0158R0704,acroform_filled,296,1534,524,1534,2458.0912162162163,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0158/UT0158R0707.PDF,UT0158R0707,acroform_filled,297,1534,527,1534,2458.734006734007,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0158/UT0158R0703.PDF,UT0158R0703,acroform_filled,295,1535,523,1535,2456.3322033898303,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0158/UT0158R0700.pdf,UT0158R0700,flattened,300,0,0,0,2382.6633333333334,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0158/UT0158R0708.PDF,UT0158R0708,acroform_filled,298,1534,528,1534,2474.7080536912754,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0331/UT.0331.R03.01.pdf,UT0331R0301,flattened,115,0,0,0,2297.573913043478,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0331/UT.0331.R03.02.pdf,UT0331R0302,flattened,120,0,0,0,2265.9416666666666,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0331/UT.0331.R03.03.pdf,UT0331R0303,flattened,125,0,0,0,2299.528,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0331/UT.0331.90.R1.01.pdf,,flattened,143,0,0,0,1878.5734265734266,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.1886/UT1886R0004.PDF,UT1886R0004,acroform_filled,255,1403,484,1403,2462.4823529411765,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.1886/UT1886R0000.PDF,UT1886R0000,acroform_filled,251,1384,477,1384,2433.828685258964,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.1886/UT1886R0003.PDF,UT1886R0003,acroform_filled,252,1403,481,1403,2456.4801587301586,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0247/UT0247R0500.pdf,UT0247R0500,flattened,145,0,0,0,2152.786206896552,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0247/UT0247R0600.pdf,UT0247R0600,flattened,196,0,0,0,2163.6428571428573,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0247/UT0247R0602.pdf,UT0247R0602,flattened,197,0,0,0,2159.6852791878173,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.0247/UT.0247.R04.01.pdf,UT0247R0401,flattened,146,0,0,0,2191.917808219178,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.40183/UT.40183.PDF,,acroform_filled,165,1128,368,1128,2243.5333333333333,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.1246/UT1246R0200.PDF,UT1246R0200,acroform_filled,149,1021,325,1021,2339.9261744966443,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.1246/UT1246R0201.PDF,UT1246R0201,acroform_filled,150,1038,324,1038,2335.2,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/UT/UT.1029/UT1029R0100.pdf,UT1029R0100,flattened,180,0,0,0,2247.322222222222,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/GA/GA.0112/GA0112R0802.PDF,GA0112R0802,acroform_filled,229,1150,400,1150,2413.995633187773,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/GA/GA.0112/GA0112R0800.PDF,GA0112R0800,acroform_filled,233,1150,416,1150,2390.2103004291844,False,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/GA/GA.0112/GA0112R0801.PDF,GA0112R0801,acroform_filled,227,1150,399,1150,2417.9074889867843,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/GA/GA.0112/GA.0112.R06.00 (Email).pdf,GA0112R0600,scanned,187,0,0,0,0.0,False,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/GA/GA.0112/GA.0112.R05.03.pdf,GA0112R0503,scanned,124,0,0,0,0.0,False,,False,False
